name,station,owner,duid,connection_id,connection_voltage,generator_classification,market_generator,schedule_type,updated_on,position,region,fuel_source_primary,fuel_source_secondary,tech_type_primary,tech_type_secondary,marker_type,reg_cap,max_cap,mlf_11,mlf_12,mlf_13,mlf_14,mlf_15,mlf_16,mlf_17,mlf_18,mlf_19,mlf_20
TIPS A,TORRIS,AGL SA Generation Pty Limited,TORRA1,STSA1,275,GENERATOR - SLOW,Yes,SCHEDULED,26/3/15,"{""lat"":-34.80788429342924,""lng"":138.51907376639733}",SA,Gas,Natural Gas,Combustion,Steam Sub-Critical,Gas,120,120,0.9998,1.0007,0.9999,0.9999,1.0004,1.0019,1.0014,1.0016,1.0009, 0.9992 
TIPS A,TORRIS,AGL SA Generation Pty Limited,TORRA2,STSA2,275,GENERATOR - SLOW,Yes,SCHEDULED,26/3/15,"{""lat"":-34.80788429342924,""lng"":138.51907376639733}",SA,Gas,Natural Gas,Combustion,Steam Sub-Critical,Gas,120,120,0.9998,1.0007,0.9999,0.9999,1.0004,1.0019,1.0014,1.0016,1.0009, 0.9992 
TIPS A,TORRIS,AGL SA Generation Pty Limited,TORRA3,STSA3,275,GENERATOR - SLOW,Yes,SCHEDULED,26/3/15,"{""lat"":-34.80788429342924,""lng"":138.51907376639733}",SA,Gas,Natural Gas,Combustion,Steam Sub-Critical,Gas,120,120,0.9998,1.0007,0.9999,0.9999,1.0004,1.0019,1.0014,1.0016,1.0009, 0.9992 
TIPS A,TORRIS,AGL SA Generation Pty Limited,TORRA4,STSA4,275,GENERATOR - SLOW,Yes,SCHEDULED,26/3/15,"{""lat"":-34.80788429342924,""lng"":138.51907376639733}",SA,Gas,Natural Gas,Combustion,Steam Sub-Critical,Gas,120,120,0.9998,1.0007,0.9999,0.9999,1.0004,1.0019,1.0014,1.0016,1.0009, 0.9992 
Dry Creek PS,DRYCGT,Synergen Power Pty Limited,DRYCGT1,SDCA1,66,GENERATOR - FAST,Yes,SCHEDULED,26/3/15,"{""lat"":-34.84791181413131,""lng"":138.58144920267188}",SA,Gas,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),Gas,52,57,1.0072,1.0067,1.0009,1.0009,1.0022,1.0018,1.0011,1.0019,1.003, 0.9958 
Dry Creek PS,DRYCGT,Synergen Power Pty Limited,DRYCGT2,SDCA2,66,GENERATOR - FAST,Yes,SCHEDULED,26/3/15,"{""lat"":-34.84791181413131,""lng"":138.58144920267188}",SA,Gas,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),Gas,52,57,1.0072,1.0067,1.0009,1.0009,1.0022,1.0018,1.0011,1.0019,1.003, 0.9958 
Dry Creek PS,DRYCGT,Synergen Power Pty Limited,DRYCGT3,SDCA3,66,GENERATOR - FAST,Yes,SCHEDULED,26/3/15,"{""lat"":-34.84791181413131,""lng"":138.58144920267188}",SA,Gas,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),Gas,52,57,1.0072,1.0067,1.0009,1.0009,1.0022,1.0018,1.0011,1.0019,1.003, 0.9958 
Starfish Hill WF,STARFHILL,Starfish Hill Wind Farm Pty Ltd,STARHLWF,SMVE2,33,GENERATOR - NOT DISPATCHED,Yes,NON-SCHEDULED,26/3/15,"{""lat"":-35.577644306930594,""lng"":138.14092268398292}",SA,Wind,Wind,Renewable,Wind - Onshore,Wind,34.5,35,1.009,1.0115,1.0092,1.0084,1.008,1.0075,1.0051,1.0047,1.0068, 1.0049 
Ladbroke Grove PS,LADBROKE,Origin Energy Electricity Limited,LADBROK1,SPEW1,132,GENERATOR - FAST,Yes,SCHEDULED,26/3/15,"{""lat"":-37.45585873987388,""lng"":140.78408179611654}",SA,Gas,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),Gas,40,50,0.9741,0.996,0.9626,0.9674,0.9884,0.9563,0.8872,0.917,0.9474, 0.9810 
Ladbroke Grove PS,LADBROKE,Origin Energy Electricity Limited,LADBROK2,SPEW2,132,GENERATOR - FAST,Yes,SCHEDULED,26/3/15,"{""lat"":-37.45585873987388,""lng"":140.78408179611654}",SA,Gas,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),Gas,40,50,0.9741,0.996,0.9626,0.9674,0.9884,0.9563,0.8872,0.917,0.9474, 0.9810 
Snuggery PS,SNUG,Synergen Power Pty Limited,SNUG1,SSGA1,132,GENERATOR - FAST,Yes,SCHEDULED,26/3/15,"{""lat"":-37.66523346354625,""lng"":140.41372764323646}",SA,Diesel,Diesel,Combustion,Open Cycle Gas turbines (OCGT),Diesel,63,69,0.9497,0.9432,1.0289,0.9579,0.9944,0.9829,0.8417,0.9318,0.9325, 0.9498 
Canunda WF,CANUNDA1,Canunda Power Pty Ltd,CNUNDAWF,SSNN1,33,GENERATOR - NOT DISPATCHED,No,NON-SCHEDULED,26/3/15,"{""lat"":-37.69910290414031,""lng"":140.3825399250992}",SA,Wind,Wind,Renewable,Wind - Onshore,Wind,46,46,,,,,,,0.885,0.8967,0.9237, 0.9892 
Lake Bonney WF,LKBONNY,Lake Bonney Wind Power Pty Ltd,LKBONNY1,SMAY1,33,GENERATOR - NOT DISPATCHED,Yes,NON-SCHEDULED,26/3/15,"{""lat"":-37.760683705220416,""lng"":140.40593071370213}",SA,Wind,Wind,Renewable,Wind - Onshore,Wind,80.5,81,0.9388,0.9868,0.9404,0.9426,0.9665,0.9352,0.8768,0.8906,0.9144, 0.9788 
